N;Gestosc;Kahn_MS_sr;Kahn_MS_odch;Kahn_LN_sr;Kahn_LN_odch;Kahn_LK_sr;Kahn_LK_odch;Tarjan_MS_sr;Tarjan_MS_odch;Tarjan_LN_sr;Tarjan_LN_odch;Tarjan_LK_sr;Tarjan_LK_odch
500;0.1;4.03132;0.0398736;0.21554;0.00923311;7.68898;0.104966;2.52158;0.0241089;0.27325;0.00715112;34.0541;0.269779
500;0.2;4.34519;0.0224744;0.37872;0.0093585;15.4302;0.512105;2.69441;0.0192015;0.51546;0.0119655;68.4883;2.19295
500;0.3;4.70163;0.0226174;0.53574;0.00893837;23.0194;0.69917;2.88001;0.0128249;0.75221;0.0146068;100.879;0.547101
500;0.4;5.10769;0.0272521;0.70075;0.0120828;30.652;0.378715;3.17175;0.134255;1.00234;0.015275;136.131;1.94636
500;0.5;5.49804;0.229924;0.89807;0.135131;50.5505;13.5327;3.27276;0.0184061;1.23657;0.0204964;169.419;0.311003
500;0.6;5.38088;0.0188812;1.01432;0.00797293;54.3587;12.1472;3.28725;0.0212532;1.4731;0.0155692;204.438;1.85283
500;0.7;5.25092;0.0215002;1.18318;0.0120679;69.059;17.9192;3.23649;0.015007;1.70827;0.0152024;239.983;4.36936
500;0.8;5.08065;0.0277653;1.3367;0.0201187;84.9632;21.0476;3.15702;0.0202845;1.92589;0.0178142;273.704;3.13372
500;0.9;4.97146;0.0338974;1.48392;0.0043995;114.166;16.1932;3.13638;0.0340037;2.18004;0.0285016;304.239;3.91453
